t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
23,6.9,20.0,13.1,4025,1,-0.3,6663,42.2,76,38.0,0,1,6730,2,0.00
27,7.1,20.0,12.9,4022,1,0.4,6729,42.3,5,38.0,0,1,6722,2,0.00
27,7.2,20.0,12.8,4015,1,0.9,6729,42.6,8,38.0,0,1,6713,2,0.00
27,7.1,20.0,12.9,4011,1,1.2,6730,42.2,9,38.0,0,1,6709,2,0.00
27,7.1,20.0,12.9,4012,1,1.3,6668,42.3,9,38.0,0,1,6709,2,0.00
27,7.1,20.0,12.9,4013,1,1.4,6666,42.1,9,38.0,0,1,6708,2,0.00
44,7.2,20.0,12.8,4009,1,1.5,6732,42.0,9,38.0,0,1,6705,2,0.00
60,7.3,20.0,12.7,4004,1,1.9,6732,41.9,9,38.0,0,1,6699,2,0.00
76,7.3,20.0,12.7,4002,1,2.2,6668,42.3,1,38.0,0,1,6695,2,0.00
92,7.2,20.0,12.8,4010,1,1.8,6668,42.0,3,38.0,0,1,6704,2,0.00
122,7.2,20.0,12.8,4016,1,1.4,6734,41.9,5,38.0,0,1,6712,2,0.00
139,7.4,20.0,12.6,4015,1,1.4,6732,41.9,7,38.0,0,1,6712,2,0.00
153,7.5,20.0,12.5,4010,1,1.6,6668,42.0,9,40.0,0,1,6707,2,0.00
169,7.5,20.0,12.5,4009,1,1.8,6668,41.7,9,40.0,0,1,6704,2,0.00
200,7.5,20.0,12.5,4010,1,1.9,6734,41.9,9,40.0,0,1,6704,2,0.00
215,7.5,20.0,12.5,4009,1,1.9,6732,41.9,9,40.0,0,1,6705,2,0.00
230,7.5,20.0,12.5,4010,1,1.7,6669,41.8,9,40.0,0,1,6709,2,0.00
260,7.6,20.0,12.4,4015,1,1.4,6669,41.1,0,40.0,0,1,6716,2,0.00
276,7.6,20.0,12.4,4019,1,1.4,6668,41.7,2,40.0,0,1,6717,2,0.00
307,7.7,20.0,12.3,4016,1,1.5,6734,42.0,4,40.0,0,1,6715,2,0.00
322,7.6,20.0,12.4,4018,1,1.3,6734,42.0,6,40.0,0,1,6720,2,0.00
337,7.5,20.0,12.5,4026,1,0.9,6668,41.8,8,40.0,0,1,6731,2,0.00
430,7.4,20.0,12.6,4033,1,0.2,6738,42.0,76,40.0,0,1,6745,2,0.00
446,7.7,20.0,12.3,4036,1,0.3,6674,41.1,6,40.0,0,1,6745,2,0.00
460,8.0,20.0,12.0,4028,1,1.1,6674,41.2,8,40.0,0,1,6728,2,0.00
476,8.2,20.0,11.8,4013,1,2.2,6741,41.2,9,40.0,0,1,6707,2,0.00
507,8.2,20.0,11.8,4002,1,3.2,6740,41.2,9,40.0,0,1,6690,2,0.00
522,8.2,20.0,11.8,3997,1,3.8,6675,41.1,9,40.0,0,1,6680,2,0.00
538,8.2,20.0,11.8,3995,1,4.1,6675,41.3,9,40.0,0,1,6675,2,0.00
569,8.3,20.0,11.7,3992,1,4.2,6738,41.1,9,40.0,0,1,6674,2,0.00
585,8.5,20.0,11.5,3990,1,4.3,6738,40.8,1,40.0,0,1,6672,2,0.00
600,8.6,20.0,11.4,3987,1,4.4,6672,41.2,3,40.0,0,1,6670,2,0.00
616,8.7,20.0,11.3,3990,1,4.6,6671,40.6,5,40.0,0,1,6667,2,0.00
646,8.7,20.0,11.3,3990,1,4.6,6734,40.0,7,40.0,0,1,6666,2,0.00
662,8.8,20.0,11.2,3989,1,4.6,6732,40.6,9,40.0,0,1,6667,2,0.00
678,8.9,20.0,11.1,3988,1,4.5,6732,40.8,9,40.0,0,1,6668,2,0.00
708,8.9,20.0,11.1,3993,1,4.3,6666,40.6,9,40.0,0,1,6674,2,0.00
724,8.9,20.0,11.1,3999,1,3.8,6663,40.4,9,40.0,0,1,6683,2,0.00
738,8.9,20.0,11.1,4001,1,3.5,6726,40.3,9,40.0,0,1,6690,2,0.00
769,9.1,20.0,10.9,4004,1,3.0,6727,40.0,0,40.0,0,1,6698,2,0.00
785,9.1,20.0,10.9,4010,1,2.8,6662,40.4,2,40.0,0,1,6703,2,0.00
801,9.2,20.0,10.8,4011,1,2.8,6660,39.8,4,40.0,0,1,6703,2,0.00
816,9.2,20.0,10.8,4013,1,2.5,6726,40.5,6,40.0,0,1,6708,2,0.00
847,9.2,20.0,10.8,4018,1,2.1,6724,40.5,8,40.0,0,1,6717,2,0.00
924,9.0,20.0,11.0,4032,1,1.3,6663,40.5,73,40.0,0,1,6735,2,0.00
940,9.3,20.0,10.7,4037,1,1.0,6665,39.5,4,40.0,0,1,6742,2,0.00
970,9.7,20.0,10.3,4024,1,1.8,6729,39.8,5,40.0,0,1,6724,2,0.00
985,10.0,20.0,10.0,4006,1,3.2,6730,39.3,7,40.0,0,1,6695,2,0.00
1001,10.1,20.0,9.9,3995,1,4.3,6666,39.2,9,40.0,0,1,6674,2,0.00
1031,10.2,20.0,9.8,3985,1,5.3,6666,39.2,9,40.0,0,1,6656,2,0.00
1047,10.3,20.0,9.7,3974,1,6.0,6729,39.2,9,40.0,0,1,6641,2,0.00
1062,10.3,20.0,9.7,3969,1,6.4,6727,39.6,9,40.0,0,1,6634,2,0.00
1093,10.3,20.0,9.7,3971,1,6.4,6662,38.7,9,40.0,0,1,6635,2,0.00
1109,10.6,20.0,9.4,3971,1,6.5,6659,39.0,1,40.0,0,1,6631,2,0.00
1125,10.7,20.0,9.3,3969,1,6.5,6723,38.7,3,40.0,0,1,6629,2,0.00
1140,10.8,20.0,9.2,3969,1,6.3,6721,38.7,4,50.0,0,1,6633,2,0.00
1171,10.8,20.0,9.2,3972,1,5.9,6720,38.7,6,50.0,0,1,6640,2,0.00
1187,10.8,20.0,9.2,3979,1,5.4,6653,39.0,8,50.0,0,1,6649,2,0.00
1203,10.8,20.0,9.2,3986,1,4.7,6650,38.6,9,50.0,0,1,6661,2,0.00
1234,10.9,20.0,9.1,3992,1,4.0,6714,38.5,9,50.0,0,1,6674,2,0.00
1250,10.9,20.0,9.1,3997,1,3.4,6714,38.5,9,50.0,0,1,6684,2,0.00
1264,11.0,20.0,9.0,4004,1,3.0,6648,38.5,9,50.0,0,1,6692,2,0.00
1280,11.1,20.0,8.9,4010,1,2.3,6647,38.0,0,50.0,0,1,6703,2,0.00
1310,11.2,20.0,8.8,4010,1,2.3,6711,38.8,2,50.0,0,1,6702,2,0.00
1325,11.2,20.0,8.8,4011,1,2.1,6712,38.5,4,50.0,0,1,6705,2,0.00
1340,11.1,20.0,8.9,4016,1,1.7,6648,38.2,6,50.0,0,1,6715,2,0.00
1433,11.1,20.0,8.9,4021,1,1.7,6650,38.2,90,50.0,0,1,6715,2,0.00
1448,11.3,20.0,8.7,4023,1,1.3,6717,37.2,1,50.0,0,1,6720,2,0.00
1479,11.6,20.0,8.4,4015,1,1.8,6715,37.7,3,50.0,0,1,6709,2,0.00
1495,12.0,20.0,8.0,4002,1,2.9,6653,36.9,5,50.0,0,1,6684,2,0.00
1510,12.1,20.0,7.9,3990,1,4.0,6654,37.5,7,50.0,0,1,6663,2,0.00
1526,12.2,20.0,7.8,3981,1,4.9,6720,37.7,9,50.0,0,1,6647,2,0.00
1547,12.1,20.0,7.9,3978,1,5.1,6718,37.4,9,50.0,0,1,6645,2,0.00
1572,12.0,20.0,8.0,3980,1,4.8,6717,38.0,9,50.0,0,1,6651,2,0.00
1587,12.0,20.0,8.0,3988,1,4.3,6653,37.6,9,50.0,0,1,6661,2,0.00
1603,11.9,20.0,8.1,3996,1,3.5,6650,37.1,9,50.0,0,1,6675,2,0.00
1634,12.3,20.0,7.7,3996,1,3.3,6714,37.0,0,50.0,0,1,6675,2,0.00
1650,12.5,20.0,7.5,3987,1,3.7,6714,37.0,2,50.0,0,1,6665,2,0.00
1665,12.6,20.0,7.4,3987,1,4.0,6648,36.9,4,50.0,0,1,6661,2,0.00
1696,12.6,20.0,7.4,3987,1,4.0,6648,37.3,6,50.0,0,1,6659,2,0.00
1712,12.6,20.0,7.4,3987,1,3.9,6714,37.0,8,50.0,0,1,6662,2,0.00
1728,12.6,20.0,7.4,3989,1,3.6,6712,36.8,9,50.0,0,1,6668,2,0.00
1744,12.6,20.0,7.4,3992,1,3.2,6645,36.9,9,50.0,0,1,6674,2,0.00
1775,12.7,20.0,7.3,3996,1,3.0,6645,36.7,9,50.0,0,1,6678,2,0.00
1790,12.8,20.0,7.2,3998,1,2.9,6645,36.4,9,50.0,0,1,6679,2,0.00
1805,12.9,20.0,7.1,3995,1,3.0,6709,36.5,9,50.0,0,1,6676,2,0.00
1836,13.1,20.0,6.9,3988,1,3.4,6708,36.7,1,50.0,0,1,6667,2,0.00
1851,13.1,20.0,6.9,3990,1,3.3,6644,36.3,3,50.0,0,1,6668,2,0.00
1928,13.1,20.0,6.9,3994,1,3.3,6640,36.3,87,50.0,0,1,6668,2,0.00
1958,13.2,20.0,6.8,3993,1,3.2,6703,35.3,9,50.0,0,1,6670,2,0.00
1974,13.9,20.0,6.1,3987,1,4.4,6703,35.8,0,50.0,0,1,6639,2,0.00
1989,14.1,20.0,5.9,3964,1,5.4,6638,35.8,2,50.0,0,1,6620,2,0.00
2020,14.0,20.0,6.0,3964,1,5.6,6637,35.7,4,50.0,0,1,6618,2,0.00
2035,13.9,20.0,6.1,3967,1,5.2,6697,35.2,6,50.0,0,1,6627,2,0.00
2050,14.1,20.0,5.9,3965,1,5.1,6696,35.2,8,50.0,0,1,6626,2,0.00
2080,14.3,20.0,5.7,3963,1,5.4,6631,34.9,9,50.0,0,1,6620,2,0.00
2096,14.5,20.0,5.5,3956,1,5.9,6631,34.8,9,50.0,0,1,6606,2,0.00
2111,14.7,20.0,5.3,3951,1,6.4,6628,34.9,9,50.0,0,1,6597,2,0.00
2127,14.8,20.0,5.2,3945,1,6.7,6691,35.0,9,50.0,0,1,6591,2,0.00
2158,14.8,20.0,5.2,3945,1,6.6,6690,34.6,9,47.0,0,1,6593,2,0.00
2174,15.0,20.0,5.0,3948,1,6.2,6622,34.7,1,47.0,0,1,6597,2,0.00
2189,15.2,20.0,4.8,3947,1,6.3,6621,34.2,3,47.0,0,1,6593,2,0.00
2220,15.1,20.0,4.9,3949,1,5.9,6681,34.8,5,47.0,0,1,6600,2,0.00
2236,15.3,20.0,4.7,3950,1,5.7,6678,33.8,7,47.0,0,1,6603,2,0.00
2252,15.3,20.0,4.7,3951,1,5.4,6613,34.1,9,47.0,0,1,6608,2,0.00
2267,15.5,20.0,4.5,3952,1,5.4,6612,34.4,9,47.0,0,1,6605,2,0.00
2298,15.5,20.0,4.5,3956,1,5.1,6610,34.2,9,47.0,0,1,6610,2,0.00
2313,15.5,20.0,4.5,3961,1,4.6,6671,33.8,9,47.0,0,1,6621,2,0.00
2328,15.6,20.0,4.4,3964,1,4.2,6671,33.4,9,47.0,0,1,6627,2,0.00
2358,16.2,20.0,3.8,3962,1,5.0,6605,33.1,0,47.0,0,1,6605,2,0.00
2435,16.2,20.0,3.8,3954,1,5.0,6602,33.1,84,47.0,0,1,6605,2,0.00
2451,16.4,20.0,3.6,3951,1,4.9,6665,33.4,9,47.0,0,1,6604,2,0.00
2482,16.4,20.0,3.6,3954,1,4.6,6663,33.3,9,47.0,0,1,6610,2,0.00
2497,16.4,20.0,3.6,3958,1,4.1,6597,33.3,9,47.0,0,1,6619,2,0.00
2513,16.4,20.0,3.6,3974,1,2.9,6596,33.3,1,47.0,0,1,6642,2,0.00
2543,16.4,20.0,3.6,3983,1,2.2,6594,33.5,3,47.0,0,1,6654,2,0.00
2558,16.4,20.0,3.6,3990,1,1.5,6659,32.8,5,47.0,0,1,6666,2,0.00
2574,16.4,20.0,3.6,3994,1,1.0,6659,33.2,7,47.0,0,1,6675,2,0.00
2606,16.6,20.0,3.4,3995,1,1.0,6597,32.8,9,47.0,0,1,6673,2,0.00
2620,16.6,20.0,3.4,3996,1,1.0,6596,33.3,9,47.0,0,1,6673,2,0.00
2636,16.8,20.0,3.2,3992,1,1.3,6599,32.6,9,47.0,0,1,6666,2,0.00
2667,16.9,20.0,3.1,3986,1,1.7,6665,32.6,9,47.0,0,1,6659,2,0.00
2697,17.1,20.0,2.9,3976,0,2.4,6665,32.8,9,47.0,0,1,6644,2,0.00
2697,17.0,20.0,3.0,3972,1,2.9,6602,32.8,0,47.0,0,1,6636,2,0.00
2712,16.9,20.0,3.1,3977,1,2.6,6602,32.7,2,47.0,0,1,6642,2,0.00
2744,16.9,20.0,3.1,3982,1,2.3,6666,33.2,4,47.0,0,1,6648,2,0.00
2759,16.9,20.0,3.1,3986,1,1.8,6666,32.9,6,47.0,0,1,6657,2,0.00
2775,16.9,20.0,3.1,3991,1,1.2,6668,32.8,8,47.0,0,1,6668,2,0.00
2806,16.9,20.0,3.1,3999,1,0.7,6605,32.7,9,47.0,0,1,6677,2,0.00
2822,16.9,20.0,3.1,4002,1,0.4,6605,32.5,9,47.0,0,1,6681,2,0.00
2837,17.0,20.0,3.0,3999,0,0.5,6671,32.6,9,47.0,0,1,6680,2,0.00
2853,17.1,20.0,2.9,3996,0,0.6,6671,32.7,9,47.0,0,1,6676,2,0.00
2946,17.1,20.0,2.9,3997,0,0.7,6612,33.0,73,47.0,0,1,6674,2,0.00
2961,17.0,20.0,3.0,4000,1,0.6,6613,33.1,8,47.0,0,1,6678,2,0.00
2976,16.8,20.0,3.2,4010,1,-0.1,6680,32.5,9,47.0,0,1,6693,2,0.00
